name,ra,dec,Class,significance,F_s,F_m,F_h,F_b,P_intra,P_inter,name_cat,ra_cat,dec_cat,SubClass,ref,MW_MW,p_any,p_i,G,BP,RP,RPlx,PM,epsi,sepsi,ruwe,rgeo,J,H,K,W1,W2,W3
2CXO J143902.2+441613,219.7593298,44.270485,AGN,8.279596829305715,4.4174252451761e-14,3.5505584498534733e-14,1.2674994265736202e-13,2.0642977960765774e-13,0.85762906357002,,SDSS J14390+4416,219.759583,44.270556,Q;*|AGN|Opt|QSO|X,2010A&A...518A..10V,gca,0.99738616,1.0,18.737837,18.717562,18.267256,-0.0928,8.599999999999999e-05,0.000188,0.1762,1.024,,,,,14.116,13.021,10.121
2CXO J144009.7-034311,220.0404692,-3.7199021,LM-STAR,3.81818181818224,1.0372833350061607e-14,4.502772515553717e-15,7.978845608028655e-18,1.4883584711223352e-14,0.83539119813907,0.376,G11146831816473,220.04051528,-3.71991361,G3;*|NIR,LAMOST-DR8-AFGK,gcat,0.9995419,1.0,10.933743,11.304399,10.396043,367.9247,0.037868,8.5e-05,12.44,1.056,155.818695,9.806,9.457,9.359,9.348,9.374,9.292
2CXO J144024.8+033608,220.1036425,3.6024427,AGN,7.510565518750643,1.122578654295638e-14,7.586197763298968e-15,1.193767951682476e-14,3.074966382308011e-14,0.987048587045855,,SDSS J14404+0336,220.10375,3.6025,Q;*|Opt|QSO|X,2010A&A...518A..10V,gca,0.9971471,1.0,18.867434,19.121712,18.621597,0.4883,0.000489,0.0,1.466e-15,0.992,,,,,14.755,13.597,10.96
2CXO J144223.5-171847,220.5981557,-17.3131149,LM-STAR,2.0526315789473863,1.326069663827348e-15,7.978845608028655e-18,6.838281618695586e-16,2.017876671304936e-15,0.53902541499518,,HD 129318,220.5981667,-17.3134444,F0V;*|NIR,1988MSS...C04....0H,gcat,0.99807876,1.0,9.711952,9.896422,9.392891,66.1261,0.011156,0.00039,179.2,2.964,300.352661,9.022,8.897,8.818,8.803,8.813,8.812
2CXO J144231.7+011055,220.6321504,1.1820503,AGN,5.780995767521118,7.21139918253018e-15,4.187891251174039e-15,1.320558630207632e-14,2.460487673578054e-14,0.0211786355367099,,SDSSp J14425+0110,220.632083,1.181944,Q;*|Opt|QSO,2010A&A...518A..10V,gca,0.99945426,1.0,20.761757,22.273491,19.681606,,0.0,0.002837,1.178,,,,,,17.479,17.399,12.973
2CXO J144240.6+091814,220.6694453,9.3039849,LM-STAR,2.631578947368421,2.2744399733406482e-14,7.44927850735752e-15,7.978845608028655e-18,3.020165708637203e-14,0.60511306465459,,AG+09 1741,220.6694167,9.3039444,G0;F0;F0;*|NIR,1958PMcCO..13b....V,gcat,0.9991282,1.0,10.051384,10.270469,9.651947,92.9429,0.009073,0.000273,107.6,1.645,289.5755,9.254,9.029,8.95,8.915,8.932,8.918
2CXO J144250.1+092001,220.7087892,9.333763,AGN,2.666666666666614,1.5740388822273362e-14,1.1844661320535002e-14,7.978845608028655e-18,2.759302898841639e-14,0.6467929180621901,,SDSS J14428+0920,220.70875,9.333611,Q;*|MIR|NIR|Opt|QSO,2010A&A...518A..10V,gcat,0.9989438,1.0,17.659876,18.03018,17.152636,-0.068,0.000196,0.000326,1.525,1.064,,16.165,15.743,15.438,14.646,14.021,10.369
2CXO J144300.6+520137,220.752542,52.0269747,AGN,7.460885072482808,7.737816245206822e-15,3.851281818311428e-15,1.104141155483184e-14,2.2630509618350088e-14,0.27217947855945,,RXS J14430+5201,220.7525,52.026944,Q;*|QSO|Rad|X,2010A&A...518A..10V,gc,0.99735683,1.0,20.399269,20.570375,19.997715,-0.0049,0.000466,0.000782,0.3373,1.059,,,,,16.274,15.335,
2CXO J144340.6+585653,220.9195453,58.9481445,AGN,2.914285714285714,3.955622152518602e-15,1.716972396480524e-15,6.961574846803839e-15,1.2634169395802966e-14,0.88370962307406,,PSS J1443+5856,220.919583,58.948056,Q;*|MIR|NIR|Opt|QSO|X,2010A&A...518A..10V,gcat,0.9988727,1.0,18.850288,19.790316,17.944847,-1.2425,0.000316,0.0,0.0,0.999,,16.907,16.144,15.912,15.077,14.559,10.744
2CXO J144344.7+423327,220.9363862,42.5576986,AGN,12.24520714758998,7.426688696789459e-14,5.973804605172079e-14,1.7311162918889999e-13,3.071165622085154e-13,0.58669948799313,,SDSS J14437+4233,220.93625,42.557778,Q;*|MIR|Opt|QSO|Rad,2010A&A...518A..10V,gca,0.99802727,1.0,18.961468,19.133471,18.626726,0.0535,0.000148,0.000195,0.1757,1.033,,,,,14.884,13.731,10.841
2CXO J144441.5-012321,221.1730075,-1.389195,LM-STAR,11.564011074571509,4.0492185442051086e-14,1.6446802943799e-14,1.8745853484867172e-14,7.568484187071724e-14,0.46903271153466,,G11134301805574,221.172979,-1.389218,G8;K0;G8;*|NIR|X,LAMOST-DR8-AFGK,gcat,0.999248,1.0,13.507895,13.944857,12.896743,133.3874,0.028178,3e-05,0.5565,1.084,429.134033,12.118,11.617,11.563,11.519,11.527,11.903
2CXO J144459.2-002528,221.2468507,-0.4246014,AGN,3.647058823529761,1.546031271430423e-14,8.67166791754282e-15,8.091297682083987e-15,3.2223278313931044e-14,0.7444426240748601,,SDSS J14449-0025,221.246667,-0.424444,Q;*|G|Opt|QSO|X,2010A&A...518A..10V,gca,0.99764097,1.0,20.296877,20.561647,19.823591,-0.094,0.000466,0.0,0.0,1.018,,,,,16.521,15.411,12.626
